queue_id,queue_name,qm_id,queue_type,usage,description
Q001,PAY.LOCAL.INBOUND,QM_PAYMENTS_01,LOCAL,NORMAL,Inbound payments local queue
Q002,PAY.REMOTE.ORDERS,QM_PAYMENTS_01,REMOTE,NORMAL,Remote queue pointing to orders
Q003,PAY.XMIT.ORDERS,QM_PAYMENTS_01,LOCAL,XMITQ,Transmission queue to orders QM
Q004,PAY.LOCAL.FRAUD,QM_PAYMENTS_01,LOCAL,NORMAL,Local queue receiving fraud results
Q005,PAY2.LOCAL.INBOUND,QM_PAYMENTS_02,LOCAL,NORMAL,Duplicate inbound - legacy
Q006,PAY2.REMOTE.ORDERS,QM_PAYMENTS_02,REMOTE,NORMAL,Duplicate remote to orders
Q007,PAY2.XMIT.ORDERS,QM_PAYMENTS_02,LOCAL,XMITQ,Duplicate xmit queue - legacy
Q008,ORD.LOCAL.INBOUND,QM_ORDERS_01,LOCAL,NORMAL,Inbound orders queue
Q009,ORD.REMOTE.INVENTORY,QM_ORDERS_01,REMOTE,NORMAL,Remote queue to inventory
Q010,ORD.XMIT.INVENTORY,QM_ORDERS_01,LOCAL,XMITQ,Xmit queue to inventory
Q011,ORD.REMOTE.NOTIFICATIONS,QM_ORDERS_01,REMOTE,NORMAL,Remote queue to notifications
Q012,ORD.XMIT.NOTIFICATIONS,QM_ORDERS_01,LOCAL,XMITQ,Xmit queue to notifications
Q013,ORD2.LOCAL.INBOUND,QM_ORDERS_02,LOCAL,NORMAL,Orphan duplicate orders queue
Q014,INV.LOCAL.INBOUND,QM_INVENTORY_01,LOCAL,NORMAL,Inventory update inbound
Q015,INV.REMOTE.REPORTING,QM_INVENTORY_01,REMOTE,NORMAL,Remote to reporting
Q016,INV.XMIT.REPORTING,QM_INVENTORY_01,LOCAL,XMITQ,Xmit to reporting
Q017,NOTIF.LOCAL.INBOUND,QM_NOTIFICATIONS_01,LOCAL,NORMAL,Notifications inbound
Q018,FRAUD.LOCAL.INBOUND,QM_FRAUD_01,LOCAL,NORMAL,Fraud alerts inbound
Q019,FRAUD.REMOTE.PAYMENTS,QM_FRAUD_01,REMOTE,NORMAL,Remote back to payments
Q020,FRAUD.XMIT.PAYMENTS,QM_FRAUD_01,LOCAL,XMITQ,Xmit back to payments
Q021,AUDIT.LOCAL.INBOUND,QM_AUDIT_01,LOCAL,NORMAL,Audit events inbound
Q022,REPORT.LOCAL.INBOUND,QM_REPORTING_01,LOCAL,NORMAL,Reporting data inbound
Q023,SHARED.LOCAL.APP_X,QM_SHARED_01,LOCAL,NORMAL,Shared queue used by App X
Q024,SHARED.LOCAL.APP_Y,QM_SHARED_01,LOCAL,NORMAL,Shared queue used by App Y
Q025,LEGACY.LOCAL.DEAD,QM_LEGACY_01,LOCAL,NORMAL,Dead queue - no active consumers
